Ligand,Affinity_kcal_mol
GF_Quinazoline_NMP_OH_Cl_OCH3,-9.186
GF_Cinnoline_NMP_F_Cl_OCH3,-9.116
GF_Cinnoline_NMP_OH_Cl_OCH3,-9.111
GF_Pyridopyrimidine_NMP_OH_F_OCH3,-9.011
GF_Cinnoline_NMP_OH_F_OCH3,-9
GF_Pyridopyrimidine_NMP_F_F_OCH3,-8.988
GF_Cinnoline_Pip_OH_Cl_OCH3,-8.985
GF_Pyridopyrimidine_NMP_F_Cl_OCH3,-8.985
GF_Quinazoline_Pip_OH_OH_OCH3,-8.975
GF_Quinazoline_NMP_Cl_Cl_OCH3,-8.959
GF_Cinnoline_Pip_OH_F_OCH3,-8.948
GF_Quinazoline_NMP_Cl_F_OCH3,-8.944
GF_Pyridopyrimidine_Pip_F_Cl_OCH3,-8.94
GF_Pyridopyrimidine_NMP_OH_Cl_OCH3,-8.925
GF_Cinnoline_Pip_F_OH_OCH3,-8.883
GF_Pyridopyrimidine_Pip_OH_Cl_OCH3,-8.881
GF_Quinazoline_Pip_OH_Cl_OCH3,-8.881
GF_Cinnoline_Mor_OH_Cl_OCH3,-8.865
GF_Pyridopyrimidine_Pip_F_F_OCH3,-8.859
GF_Quinazoline_Mor_F_F_OCH3,-8.857
GF_Pyridopyrimidine_NMP_Cl_F_OCH3,-8.85
GF_Quinazoline_Pip_F_OH_OCH3,-8.847
GF_Pyridopyrimidine_NMP_Cl_Cl_OCH3,-8.824
GF_Quinazoline_Mor_OH_Cl_OCH3,-8.823
GF_Cinnoline_NMP_F_OH_OCH3,-8.822
GF_Quinazoline_NMP_F_F_OCH3,-8.821
GF_Quinazoline_Mor_F_OH_OCH3,-8.81
GF_Pyridopyrimidine_Pip_Cl_OH_OCH3,-8.809
GF_Quinazoline_Mor_F_Cl_OCH3,-8.804
GF_Pyridopyrimidine_Pip_OH_OH_OCH3,-8.801
GF_Pyridopyrimidine_Pip_OH_F_OCH3,-8.778
GF_Cinnoline_Pip_F_F_OCH3,-8.776
GF_Cinnoline_Pip_Cl_F_OCH3,-8.771
GF_Pyridopyrimidine_Mor_F_Cl_OCH3,-8.75
GF_Cinnoline_Mor_OH_F_OCH3,-8.747
GF_Quinazoline_Pip_Cl_OH_OCH3,-8.731
GF_Quinazoline_Pip_Cl_Cl_OCH3,-8.725
GF_Pyridopyrimidine_Mor_OH_Cl_OCH3,-8.706
GF_Cinnoline_Pip_Cl_Cl_OCH3,-8.694
GF_Quinazoline_NMP_OH_OH_OCH3,-8.69
GF_Quinazoline_Mor_Cl_OH_OCH3,-8.685
GF_Pyridopyrimidine_Pip_F_OH_OCH3,-8.681
GF_Cinnoline_Pip_Cl_OH_OCH3,-8.679
GF_Quinazoline_NMP_F_OH_OCH3,-8.657
GF_Quinazoline_Pip_F_F_OCH3,-8.655
GF_Cinnoline_Pip_F_Cl_OCH3,-8.649
GF_Quinazoline_Pip_OH_F_OCH3,-8.648
GF_Quinazoline_Pip_F_Cl_OCH3,-8.637
GF_Quinazoline_NMP_F_Cl_OCH3,-8.636
GF_Quinazoline_Mor_OH_OH_OCH3,-8.633
GF_Pyridopyrimidine_Mor_F_F_OCH3,-8.631
GF_Quinazoline_Mor_Cl_F_OCH3,-8.623
GF_Cinnoline_NMP_F_F_OCH3,-8.61
GF_Pyridopyrimidine_Mor_OH_F_OCH3,-8.601
GF_Cinnoline_Mor_Cl_OH_OCH3,-8.594
GF_Cinnoline_NMP_OH_OH_OCH3,-8.592
GF_Cinnoline_Pip_OH_OH_OCH3,-8.592
GF_Cinnoline_Mor_F_OH_OCH3,-8.581
GF_Quinazoline_NMP_Cl_OH_OCH3,-8.567
GF_Pyridopyrimidine_NMP_OH_OH_OCH3,-8.543
GF_Cinnoline_NMP_Cl_Cl_OCH3,-8.523
GF_Quinazoline_Pip_Cl_F_OCH3,-8.51
GF_Pyridopyrimidine_Mor_Cl_F_OCH3,-8.49
GF_Cinnoline_NMP_Cl_F_OCH3,-8.471
GF_Pyridopyrimidine_Pip_Cl_F_OCH3,-8.447
GF_Pyridopyrimidine_Mor_F_OH_OCH3,-8.443
GF_Pyridopyrimidine_NMP_F_OH_OCH3,-8.423
GF_Cinnoline_Mor_F_F_OCH3,-8.41
GF_Pyridopyrimidine_NMP_Cl_OH_OCH3,-8.379
GF_Cinnoline_Mor_Cl_Cl_OCH3,-8.345
GF_Quinazoline_NMP_OH_F_OCH3,-8.333
GF_Quinazoline_Mor_OH_F_OCH3,-8.332
GF_Cinnoline_Mor_OH_OH_OCH3,-8.318
GF_Cinnoline_Mor_F_Cl_OCH3,-8.316
GF_Pyridopyrimidine_Mor_OH_OH_OCH3,-8.312
GF_Pyridopyrimidine_Mor_Cl_Cl_OCH3,-8.235
GF_Pyridopyrimidine_Pip_Cl_Cl_OCH3,-8.206
GF_Cinnoline_Mor_Cl_F_OCH3,-8.191
GF_Quinazoline_Mor_Cl_Cl_OCH3,-8.183
GF_Pyridopyrimidine_Mor_Cl_OH_OCH3,-8.09
GF_Cinnoline_NMP_Cl_OH_OCH3,0.945
